Company Code,Account,Document Type,Posting Date,Document Date,Amount in doc. curr.,Document currency,Amount in local currency,Local Currency,Text/Billing doc,Assignment,Posting period,Fiscal Year,Document Header Text,Clearing Doc,Action,AR Comments,Aging,Aging Bucket,Sign,CountIf,Reference,SD Doc,Status,Cnxd,VBAK PO,BSID - Account,BSID Doc,BSID Amount ,Diff.,USD Diff,Diff. %,ZAR_PAY_REPORT
Europe,101077,DC,2/25/2025,2/25/2025,-9.66,NZD,-5.54,USD,3023745492,T0003,3,2025,PP/IS/20250225,1142648556,clear with OI,clear with OI,23,21-30,-1,1,3023291345,7196398303,SUCCESS,,7196398303,1417722,6518439410,9.66,0,0,0%,Not in Bibit
US,101053,DC,2/25/2025,2/25/2025,-59.99,USD,-59.99,USD,3003756114,T0003,3,2025,PP/IS/20250225,1134633368,clear together,clear together,23,21-30,-1,2,3003756114,7142233306,SUCCESS,X,,,,,,,,Not in Bibit
Europe,101071,DC,3/7/2025,3/7/2025,438.92,EUR,458.58,USD,3035629290,T1107,4,2025,PP/IS/20250307,104860980,write off,Manual refund,13,11-20,1,1,2702186947,7150303127,SUCCESS,,7150303127,1431893,6524466733,-787.19,-348.27,-363.88,44%,Not in Bibit
Europe,101071,DC,3/8/2025,3/8/2025,23.08,EUR,24.7,USD,,T1107,4,2025,PP/IS/20250308,104860980,write off,Manual refund,12,11-20,1,1,2940265400,7183961973,SUCCESS,,7183961973,,,,,,,Not in Bibit
Europe,101071,DC,3/8/2025,3/8/2025,107.06,EUR,114.6,USD,3027067289,T1107,4,2025,PP/IS/20250308,104860980,write off,Manual refund,12,11-20,1,1,3027067289,262220746,SUCCESS,0,,,,,,,,Not in Bibit
Europe,101077,DC,2/27/2025,2/27/2025,-38.76,NZD,-22.21,USD,3026679207,T0003,3,2025,PP/WO/20250226,104860983,write off,misc - CM cleared,21,21-30,-1,1,,#N/A,,,,,,,,,,Not in Bibit
Europe,101077,DC,2/28/2025,2/28/2025,-1980,JPY,-13.13,USD,,T0003,3,2025,PP/IS/20250228,1142648554,clear together,clear together,20,11-20,-1,2,,#N/A,,,,,,,,,,Not in Bibit
Europe,101071,DC,3/8/2025,3/8/2025,11.99,EUR,12.83,USD,3036324256,T1107,4,2025,PP/IS/20250308,104860980,write off,Manual refund,12,11-20,1,1,3008447672,5030112074,SUCCESS,,,1431893,6524872388,-18.14,-6.15,-6.12,34%,Not in Bibit
Europe,101071,DC,3/8/2025,3/8/2025,19.99,EUR,21.4,USD,3036171689,T1107,4,2025,PP/IS/20250308,104860980,write off,Manual refund,12,11-20,1,1,3035444784,7056328031,SUCCESS,,,1431893,6524783461,-23.15,-3.16,-2.79,14%,Not in Bibit
Europe,101077,DC,2/28/2025,2/28/2025,-44.51,NZD,-25.51,USD,3028220150,T0003,3,2025,PP/WO/20250227,104860983,write off,misc - CM cleared,20,11-20,-1,1,,#N/A,,,,,,,,,,Not in Bibit
US,101053,DC,2/28/2025,2/28/2025,-6.99,USD,-6.99,USD,,T0003,3,2025,PP/IS/20250228,106506469,write off,order not in ECC - Settlement Failed,20,11-20,-1,1,,#N/A,,,,,,,,,,Not in Bibit
Europe,101071,DC,2/28/2025,2/28/2025,-34.99,EUR,-36.6,USD,3022901880,T0003,3,2025,PP/IS/20250228,1142648552,clear together,clear together,20,11-20,-1,2,3022901880,7167560879,SUCCESS,0,,,,,,,,SETTLEMENT
Europe,101071,DC,3/9/2025,3/9/2025,66.45,EUR,71.13,USD,2732126748,T1107,4,2025,PP/IS/20250309,104860980,write off,Manual refund,11,11-20,1,1,2732126748,7039861836,SUCCESS,0,,,,,,,,Not in Bibit
Europe,101071,DC,3/1/2025,3/1/2025,-15.85,EUR,-16.56,USD,,T0003,4,2025,PP/IS/20250301,email 3/19,MBD SAP,order in ECC/no invoice,19,11-20,-1,1,,7197118291,,,7197118291,,,,,,,Not in Bibit
Europe,101071,DC,3/1/2025,3/1/2025,-34.99,EUR,-36.56,USD,3024126981,T0003,4,2025,PP/IS/20250301,1142648552,clear together,clear together,19,11-20,-1,2,3024126981,7175592579,SUCCESS,0,,,,,,,,SETTLEMENT
Europe,101071,DC,3/1/2025,3/1/2025,-29.99,EUR,-31.33,USD,3024900969,T0003,4,2025,PP/IS/20250301,1142648552,clear together,clear together,19,11-20,-1,2,3024900969,7116227570,SUCCESS,0,,,,,,,,SETTLEMENT
Europe,101071,DC,3/9/2025,3/9/2025,66.45,EUR,71.13,USD,2759269424,T1107,4,2025,PP/IS/20250309,104860980,write off,Manual refund,11,11-20,1,1,2759269424,7039861836,SUCCESS,0,,,,,,,,Not in Bibit
US,101326,DC,3/4/2025,3/4/2025,-276.89,MXN,-13.52,USD,3032669354,T0003,4,2025,PP/IS/20250304,email 3/20,Request refund,DP - PP & Ebanx,16,11-20,-1,1,,7193403860,,,,,,,,,,Not in Bibit
Europe,101071,DC,3/4/2025,3/4/2025,-29.99,EUR,-31.33,USD,3026343420,T0003,4,2025,PP/IS/20250304,1142648552,clear together,clear together,16,11-20,-1,2,3026343420,7156754733,SUCCESS,0,,,,,,,,SETTLEMENT
US,101325,DC,3/4/2025,3/4/2025,-31.49,CAD,-21.93,USD,3032290619,T0003,4,2025,PP/IS/20250304,106503159,clear together,clear together,16,11-20,-1,2,3032290619,7196320201,SUCCESS,X,,,,,,,,Not in Bibit
Europe,101071,DC,3/5/2025,3/5/2025,-19.34,EUR,-20.21,USD,,T0003,4,2025,PP/IS/20250305,ECOMMSUPT-7264,MBD,order not in ECC,15,11-20,-1,1,,#N/A,,,,,,,,,,Not in Bibit
Europe,101071,DC,3/5/2025,3/5/2025,-141.94,EUR,-148.3,USD,,T0003,4,2025,PP/IS/20250305,ECOMMSUPT-7264,MBD,order not in ECC,15,11-20,-1,1,,#N/A,,,,,,,,,,Not in Bibit
Europe,101071,DC,3/9/2025,3/9/2025,180.81,EUR,193.54,USD,2768991081,T1107,4,2025,PP/IS/20250309,104860980,write off,Manual refund,11,11-20,1,1,2768991081,7044337087,SUCCESS,0,,,,,,,,Not in Bibit
Europe,101071,DC,3/5/2025,3/5/2025,-46.36,EUR,-48.44,USD,3033817704,T0003,4,2025,PP/IS/20250305,1142648552,clear with OI,clear with OI/write off diff,15,11-20,-1,1,3033817704,7197670451,SUCCESS,0,7197670451,1431893,6523633120,38.31,-8.05,-8.41,-21%,Not in Bibit
Europe,101072,DC,3/5/2025,3/5/2025,14.19,GBP,17.92,USD,,T1107,4,2025,PP/IS/20250305,104860981,write off,Manual refund,15,11-20,1,1,3028503721,210698986,SUCCESS,,210698986,,,,,,,Not in Bibit
Europe,101072,DC,3/5/2025,3/5/2025,19.97,GBP,25.22,USD,2740973343,T1107,4,2025,PP/IS/20250305,104860981,write off,Manual refund,15,11-20,1,1,2740973343,7071687610,SUCCESS,0,,,,,,,,Not in Bibit
Europe,101072,DC,3/5/2025,3/5/2025,19.97,GBP,25.22,USD,2767995760,T1107,4,2025,PP/IS/20250305,104860981,write off,Manual refund,15,11-20,1,1,2767995760,7071687610,SUCCESS,0,,,,,,,,Not in Bibit
Europe,101072,DC,3/5/2025,3/5/2025,19.97,GBP,25.22,USD,2795467232,T1107,4,2025,PP/IS/20250305,104860981,write off,Manual refund,15,11-20,1,1,2795467232,7071687610,SUCCESS,0,,,,,,,,Not in Bibit
Europe,101077,DC,3/5/2025,3/5/2025,3.8,AUD,2.39,USD,,T1107,4,2025,PP/IS/20250305,,write off,misc/other,15,11-20,1,1047828,,#N/A,,,,,,,,,,Not in Bibit
Europe,101077,DC,3/5/2025,3/5/2025,28.99,AUD,18.23,USD,2745759883,T1107,4,2025,PP/IS/20250305,104860979,write off,Manual refund,15,11-20,1,1,2745759883,7052059355,SUCCESS,0,,,,,,,,Not in Bibit
Europe,101077,DC,3/5/2025,3/5/2025,28.99,AUD,18.23,USD,2773025398,T1107,4,2025,PP/IS/20250305,104860979,write off,Manual refund,15,11-20,1,1,2773025398,7052059355,SUCCESS,0,,,,,,,,Not in Bibit
Europe,101077,DC,3/5/2025,3/5/2025,28.99,AUD,18.23,USD,2800352086,T1107,4,2025,PP/IS/20250305,104860979,write off,Manual refund,15,11-20,1,1,2800352086,7052059355,SUCCESS,0,,,,,,,,Not in Bibit
Europe,101077,DC,3/5/2025,3/5/2025,"35,200.00",KRW,24.43,USD,3032425152,T1107,4,2025,PP/IS/20250305,104860982,write off,Manual refund,15,11-20,1,1,2994488659,7148724458,SUCCESS,,,1468536,6522874269,"-50,387.45","-15,187.45",-10.54,30%,Not in Bibit
US,101053,DC,3/5/2025,3/5/2025,7,USD,7,USD,,T1107,4,2025,PP/IS/20250305,,write off,misc/other,15,11-20,1,1047828,,#N/A,,,,,,,,,,Not in Bibit
US,101053,DC,3/5/2025,3/5/2025,19.99,USD,19.99,USD,,T1107,4,2025,PP/IS/20250305,,write off,misc/other,15,11-20,1,1047828,,#N/A,,,,,,,,,,Not in Bibit
US,101053,DC,3/5/2025,3/5/2025,21.34,USD,21.34,USD,,T1107,4,2025,PP/IS/20250305,,write off,misc/other,15,11-20,1,1047828,,#N/A,,,,,,,,,,Not in Bibit
US,101053,DC,3/5/2025,3/5/2025,19.99,USD,19.99,USD,,T1107,4,2025,PP/IS/20250305,,write off,misc/other,15,11-20,1,1047828,,#N/A,,,,,,,,,,Not in Bibit
US,101053,DC,3/5/2025,3/5/2025,21.39,USD,21.39,USD,2742171146,T1107,4,2025,PP/IS/20250305,106506469,write off,Manual refund,15,11-20,1,1,2742171146,7019866196,SUCCESS,0,,,,,,,,Not in Bibit
US,101053,DC,3/5/2025,3/5/2025,21.31,USD,21.31,USD,2748124507,T1107,4,2025,PP/IS/20250305,106506469,write off,Manual refund,15,11-20,1,1,2748124507,7046998445,SUCCESS,0,,,,,,,,Not in Bibit
US,101053,DC,3/5/2025,3/5/2025,21.39,USD,21.39,USD,2769324603,T1107,4,2025,PP/IS/20250305,106506469,write off,Manual refund,15,11-20,1,1,2769324603,7019866196,SUCCESS,0,,,,,,,,Not in Bibit
US,101053,DC,3/5/2025,3/5/2025,21.31,USD,21.31,USD,2775242544,T1107,4,2025,PP/IS/20250305,106506469,write off,Manual refund,15,11-20,1,1,2775242544,7046998445,SUCCESS,0,,,,,,,,Not in Bibit
US,101053,DC,3/5/2025,3/5/2025,21.39,USD,21.39,USD,2796738491,T1107,4,2025,PP/IS/20250305,106506469,write off,Manual refund,15,11-20,1,1,2796738491,7019866196,SUCCESS,0,,,,,,,,Not in Bibit
US,101053,DC,3/5/2025,3/5/2025,-27.04,USD,-27.04,USD,3033917691,T0006,4,2025,PP/IS/20250305,1134633368,clear with OI,clear with OI/write off diff,15,11-20,-1,1,3033917691,7197745846,SUCCESS,0,7197745846,1450444,6652924709,21.64,-5.4,-5.4,-25%,Not in Bibit
US,101053,DC,3/5/2025,3/5/2025,19.99,USD,19.99,USD,3033283335,T1107,4,2025,PP/IS/20250305,106506469,write off,Manual refund,15,11-20,1,1,3004951087,7150053940,SUCCESS,,,1450444,6652595317,-34.99,-15,-15,43%,Not in Bibit
US,101053,DC,3/5/2025,3/5/2025,5.52,USD,5.52,USD,3033933738,T1107,4,2025,PP/IS/20250305,106506469,write off,Manual refund,15,11-20,1,1,3033717414,7183034085,SUCCESS,,,1450444,6652912297,-17.19,-11.67,-11.67,68%,Not in Bibit
US,101325,DC,3/5/2025,3/5/2025,29.37,CAD,20.45,USD,,T1107,4,2025,PP/IS/20250305,,write off,misc/other,15,11-20,1,1047828,,#N/A,,,,,,,,,,Not in Bibit
Europe,101071,DC,3/9/2025,3/9/2025,66.45,EUR,71.13,USD,2786563008,T1107,4,2025,PP/IS/20250309,104860980,write off,Manual refund,11,11-20,1,1,2786563008,7039861836,SUCCESS,0,,,,,,,,Not in Bibit
Europe,101071,DC,3/6/2025,3/6/2025,-33.49,EUR,-34.99,USD,3026988592,T0003,4,2025,PP/IS/20250306,email 3/20,Request refund,DP - PP & Bibit,14,11-20,-1,1,3026988592,7171773033,SUCCESS,0,,,,,,,,SETTLEMENT
Europe,101071,DC,3/6/2025,3/6/2025,-47.54,EUR,-49.67,USD,,T0003,4,2025,PP/IS/20250306,ECOMMSUPT-7264,MBD,order not in ECC,14,11-20,-1,1,,#N/A,,,,,,,,,,Not in Bibit
Europe,101071,DC,3/6/2025,3/6/2025,-63.99,EUR,-66.86,USD,,T0003,4,2025,PP/IS/20250306,ECOMMSUPT-7264,MBD,order not in ECC,14,11-20,-1,1,,#N/A,,,,,,,,,,Not in Bibit
Europe,101071,DC,3/6/2025,3/6/2025,-269.99,EUR,-282.09,USD,,T0006,4,2025,PP/IS/20250306,ECOMMSUPT-7264,MBD,order not in ECC,14,11-20,-1,1,,#N/A,,,,,,,,,,Not in Bibit
Europe,101077,DC,3/6/2025,3/6/2025,-193.78,NZD,-109.99,USD,3034924637,T0003,4,2025,PP/WO/20250304,104860983,write off,misc - CM cleared,14,11-20,-1,1,,#N/A,,,,,,,,,,Not in Bibit
Europe,101077,DC,3/6/2025,3/6/2025,-38.76,NZD,-22,USD,3034891342,T0003,4,2025,PP/IS/20250306,1142648556,clear with OI,clear with OI,14,11-20,-1,1,3034171938,7197873622,SUCCESS,,7197873622,1417722,6524117172,38.76,0,0,0%,Not in Bibit
Europe,101071,DC,3/7/2025,3/7/2025,-12.09,EUR,-12.63,USD,,T0003,4,2025,PP/IS/20250307,1142648552,clear together,clear together,13,11-20,-1,2,,#N/A,,,,,,,,,,Not in Bibit
Europe,101071,DC,3/9/2025,3/9/2025,68.12,EUR,72.92,USD,2959522394,T1107,4,2025,PP/IS/20250309,104860980,write off,Manual refund,11,11-20,1,1,2959522394,7129309522,CANCELLED,X,,,,,,,,Not in Bibit
Europe,101071,DC,3/10/2025,3/10/2025,35.69,EUR,38.2,USD,2736532473,T1107,4,2025,PP/IS/20250310,104860980,write off,Manual refund,10,0-10,1,1,2736532473,7089142491,SUCCESS,0,,,,,,,,Not in Bibit
Europe,101071,DC,3/7/2025,3/7/2025,-15.12,EUR,-15.8,USD,3027951174,T0003,4,2025,PP/IS/20250307,email 3/20,Request refund,DP - PP & Bibit,13,11-20,-1,1,3027951174,5012292970,SUCCESS,0,,,,,,,,SETTLEMENT
Europe,101071,DC,3/7/2025,3/7/2025,-12.99,EUR,-13.57,USD,3029039258,T0003,4,2025,PP/IS/20250307,email 3/20,Request refund,DP - PP & Bibit,13,11-20,-1,1,3029039258,7130009809,SUCCESS,0,,,,,,,,SETTLEMENT
Europe,101071,DC,3/7/2025,3/7/2025,-27.9,EUR,-29.15,USD,3029438981,T0003,4,2025,PP/IS/20250307,email 3/20,Request refund,DP - PP & Bibit,13,11-20,-1,1,3029438981,7180581712,SUCCESS,0,,,,,,,,SETTLEMENT
Europe,101071,DC,3/7/2025,3/7/2025,-14.49,EUR,-15.14,USD,,T0003,4,2025,PP/IS/20250307,ECOMMSUPT-7264,MBD,order not in ECC,13,11-20,-1,1,,#N/A,,,,,,,,,,Not in Bibit
Europe,101071,DC,3/10/2025,3/10/2025,35.69,EUR,38.2,USD,2763680381,T1107,4,2025,PP/IS/20250310,104860980,write off,Manual refund,10,0-10,1,1,2763680381,7089142491,SUCCESS,0,,,,,,,,Not in Bibit
Europe,101071,DC,3/7/2025,3/7/2025,-33.2,EUR,-34.69,USD,3029546466,T0003,4,2025,PP/IS/20250307,email 3/20,Request refund,DP - PP & Bibit,13,11-20,-1,1,3029546466,7184473379,SUCCESS,0,,,,,,,,SETTLEMENT
Europe,101071,DC,3/7/2025,3/7/2025,-29.99,EUR,-31.33,USD,3029743882,T0003,4,2025,PP/IS/20250307,email 3/20,Request refund,DP - PP & Bibit,13,11-20,-1,1,3029743882,7180086140,SUCCESS,0,,,,,,,,SETTLEMENT
Europe,101071,DC,3/7/2025,3/7/2025,-29.74,EUR,-31.07,USD,3030039224,T0003,4,2025,PP/IS/20250307,email 3/20,Request refund,DP - PP & Bibit,13,11-20,-1,1,3030039224,5000098487,SUCCESS,0,,,,,,,,SETTLEMENT
Europe,101071,DC,3/7/2025,3/7/2025,-15.47,EUR,-16.16,USD,3030087837,T0003,4,2025,PP/IS/20250307,email 3/20,Request refund,DP - PP & Bibit,13,11-20,-1,1,3030087837,7192448355,SUCCESS,0,,,,,,,,SETTLEMENT
Europe,101071,DC,3/7/2025,3/7/2025,-27.9,EUR,-29.15,USD,3030125979,T0003,4,2025,PP/IS/20250307,email 3/20,Request refund,DP - PP & Bibit,13,11-20,-1,1,3030125979,7184459746,SUCCESS,0,,,,,,,,SETTLEMENT
Europe,101071,DC,3/7/2025,3/7/2025,-19.34,EUR,-20.21,USD,3030309974,T0003,4,2025,PP/IS/20250307,email 3/20,Request refund,DP - PP & Bibit,13,11-20,-1,1,3030309974,7172626005,SUCCESS,0,,,,,,,,SETTLEMENT
Europe,101071,DC,3/7/2025,3/7/2025,-55.84,EUR,-58.34,USD,3030901195,T0003,4,2025,PP/IS/20250307,email 3/20,Request refund,DP - PP & Bibit,13,11-20,-1,1,3030901195,5003681808,SUCCESS,0,,,,,,,,SETTLEMENT
Europe,101071,DC,3/7/2025,3/7/2025,-55.84,EUR,-58.34,USD,3031800439,T0003,4,2025,PP/IS/20250307,email 3/20,Request refund,DP - PP & Bibit,13,11-20,-1,1,3031800439,5000606909,SUCCESS,0,,,,,,,,SETTLEMENT
Europe,101071,DC,3/7/2025,3/7/2025,-27.91,EUR,-29.16,USD,3034927673,T0006,4,2025,PP/IS/20250307,1142648552,clear with OI,clear with OI/write off diff,13,11-20,-1,1,3034927673,7197982763,SUCCESS,0,7197982763,1431893,6524431107,55.84,27.93,29.18,50%,Not in Bibit
Europe,101071,DC,3/7/2025,3/7/2025,-27.91,EUR,-29.16,USD,3034930930,T0006,4,2025,PP/IS/20250307,1142648552,clear with OI,clear with OI/write off diff,13,11-20,-1,1,3034930930,7197974487,SUCCESS,0,7197974487,1431893,6524431125,55.84,27.93,29.18,50%,Not in Bibit
Europe,101071,DC,3/7/2025,3/7/2025,-33.21,EUR,-34.7,USD,3035501703,T0006,4,2025,PP/IS/20250307,1142648552,clear with OI,clear with OI/write off diff,13,11-20,-1,1,3035501703,7197989878,SUCCESS,0,7197989878,1431893,6524526272,66.45,33.24,34.73,50%,Not in Bibit
Europe,101071,DC,3/7/2025,3/7/2025,-16.25,EUR,-16.98,USD,3035940996,T0006,4,2025,PP/IS/20250307,1142648552,clear with OI,clear with OI/write off diff,13,11-20,-1,1,3035940996,7197984106,SUCCESS,0,7197984106,1431893,6524656002,19.34,3.09,3.23,16%,Not in Bibit
Europe,101071,DC,3/7/2025,3/7/2025,-33.21,EUR,-34.7,USD,3035014030,T0003,4,2025,PP/IS/20250307,1142648552,clear with OI,clear with OI/write off diff,13,11-20,-1,1,3035014030,7197994259,SUCCESS,0,7197994259,1431893,6524431447,66.45,33.24,34.73,50%,Not in Bibit
Europe,101071,DC,3/7/2025,3/7/2025,-36.59,EUR,-38.23,USD,3035415353,T0006,4,2025,PP/IS/20250307,1142648552,clear with OI,clear with OI/write off diff,13,11-20,-1,1,3035415353,7197989622,SUCCESS,0,7197989622,1431893,6524461946,68.12,31.53,32.94,46%,Not in Bibit
Europe,101071,DC,3/7/2025,3/7/2025,-27.91,EUR,-29.16,USD,3034907048,T0006,4,2025,PP/IS/20250307,1142648552,clear with OI,clear with OI/write off diff,13,11-20,-1,1,3034907048,7197954302,SUCCESS,0,7197954302,1431893,6524430084,55.84,27.93,29.18,50%,Not in Bibit
Europe,101071,DC,3/10/2025,3/10/2025,35.69,EUR,38.2,USD,2791090625,T1107,4,2025,PP/IS/20250310,104860980,write off,Manual refund,10,0-10,1,1,2791090625,7089142491,SUCCESS,0,,,,,,,,Not in Bibit
Europe,101071,DC,3/11/2025,3/11/2025,319.07,EUR,341.53,USD,2723494688,T1107,4,2025,PP/IS/20250311,104860980,write off,Manual refund,9,0-10,1,1,2723494688,7039648195,SUCCESS,0,,,,,,,,Not in Bibit
Europe,101071,DC,3/11/2025,3/11/2025,251.71,EUR,269.43,USD,2775626263,T1107,4,2025,PP/IS/20250311,104860980,write off,Manual refund,9,0-10,1,1,2775626263,7013968558,SUCCESS,0,,,,,,,,Not in Bibit
Europe,101071,DC,3/7/2025,3/7/2025,-33.49,EUR,-34.99,USD,3035439566,T0003,4,2025,PP/IS/20250307,1142648552,clear with OI,clear with OI/write off diff,13,11-20,-1,1,3035439566,7154232022,SUCCESS,0,,1431893,6524484389,55.84,22.35,23.35,40%,Not in Bibit
Europe,101071,DC,3/7/2025,3/7/2025,-32.76,EUR,-34.23,USD,3035466884,T0003,4,2025,PP/IS/20250307,1142648552,clear with OI,clear with OI/write off diff,13,11-20,-1,1,3035466884,7135375891,SUCCESS,0,,1431893,6524507932,38.98,6.22,6.5,16%,Not in Bibit
Europe,101071,DC,3/11/2025,3/11/2025,24.19,EUR,25.89,USD,2795574115,T1107,4,2025,PP/IS/20250311,104860980,write off,Manual refund,9,0-10,1,1,2795574115,7162537356,SUCCESS,0,,,,,,,,Not in Bibit
US,101053,DC,3/7/2025,3/7/2025,19.99,USD,19.99,USD,2742592621,T1107,4,2025,PP/IS/20250307,106506469,write off,Manual refund,13,11-20,1,1,2742592621,7049104933,SUCCESS,0,,,,,,,,Not in Bibit
US,101053,DC,3/7/2025,3/7/2025,19.99,USD,19.99,USD,2769880269,T1107,4,2025,PP/IS/20250307,106506469,write off,Manual refund,13,11-20,1,1,2769880269,7049104933,SUCCESS,0,,,,,,,,Not in Bibit
US,101053,DC,3/7/2025,3/7/2025,19.99,USD,19.99,USD,2797301935,T1107,4,2025,PP/IS/20250307,106506469,write off,Manual refund,13,11-20,1,1,2797301935,7049104933,SUCCESS,0,,,,,,,,Not in Bibit
Europe,101071,DC,3/12/2025,3/12/2025,7.59,EUR,8.12,USD,,T1107,4,2025,PP/IS/20250312,104860980,write off,Manual refund,8,0-10,1,1,2986490540,7190562636,SUCCESS,,7190562636,,,,,,,Not in Bibit
Europe,101071,DC,3/8/2025,3/8/2025,-15.46,EUR,-16.55,USD,3032572113,T0003,4,2025,PP/IS/20250308,email 3/20,Request refund,DP - PP & Bibit,12,11-20,-1,1,3032572113,7100436875,SUCCESS,0,,,,,,,,SETTLEMENT
